ID_REGIAO,ID_UF,ID_MUNICIPIO,IN_PUBLICA,TX_RESP_Q01,IN_PRESENCA_LP,IN_PRESENCA_MT,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,NU_TIPO_NIVEL_INSE,PROFICIENCIA_TOTAL
3,32,6325268,1,Feminino,1,1,355.11,310.9,1,4,666.01
3,32,6325268,1,Masculino,1,1,246.48,233.09,1,5,479.57
3,32,6325268,1,Feminino,1,1,261.32,273.65,1,6,534.97
3,32,6325268,1,C,1,1,346.35,362.6,1,2,708.95
3,32,6325268,1,Masculino,1,1,324.62,315.37,1,3,639.99
3,32,6325268,1,Masculino,1,1,246.42,250.04,1,4,496.46
3,32,6325268,1,Feminino,1,1,232.2,306.34,1,1,538.54
3,32,6325268,1,Feminino,1,1,258.72,319.59,1,7,578.31
3,32,6325268,1,Feminino,1,1,365.2,395.6,1,5,760.8
3,32,6325268,1,Feminino,1,1,326.02,380.88,1,4,706.9
3,32,6325268,1,Feminino,1,1,214.06,257.26,1,5,471.32
3,32,6325268,1,Feminino,1,1,279.25,302.6,1,7,581.85
3,32,6325268,1,Masculino,1,1,368.33,227.68,1,4,596.01
3,32,6325268,1,Feminino,1,1,343.5,284.66,1,6,628.1600000000001
3,32,6325268,1,Feminino,1,1,204.05,230.0,1,3,434.05
3,32,6325268,1,Feminino,1,1,296.17,235.95,1,2,532.12
3,32,6325268,1,Feminino,1,1,351.96,367.8,1,4,719.76
3,32,6325268,1,Feminino,1,1,342.3,330.77,1,3,673.0699999999999
3,32,6325268,1,Feminino,1,1,322.76,302.45,1,4,625.21
3,32,6325268,1,Feminino,1,1,323.61,200.07,1,3,523.6800000000001
3,32,6325268,1,Feminino,1,1,319.66,362.67,1,1,682.33
3,32,6325268,1,Masculino,1,1,251.86,262.02,1,5,513.88
3,32,6325268,1,Masculino,1,1,285.1,311.44,1,4,596.54
3,32,6325268,1,C,1,1,315.24,304.38,1,5,619.62
3,32,6325268,1,Feminino,1,1,292.46,277.85,1,3,570.31
3,32,6325268,1,Feminino,1,1,213.21,229.44,1,3,442.65
3,32,6325268,1,Masculino,1,1,295.5,269.47,1,1,564.97
3,32,6325268,1,Masculino,1,1,317.33,347.85,1,5,665.1800000000001
3,32,6325268,1,Feminino,1,1,277.91,244.42,1,5,522.33
3,32,6325268,1,Masculino,1,1,204.38,302.57,1,5,506.95
3,32,6325268,1,Feminino,1,1,329.57,234.37,1,6,563.94
3,32,6325268,1,Feminino,1,1,283.25,248.14,1,6,531.39
3,32,6325268,1,Masculino,1,1,305.17,316.04,1,2,621.21
3,32,6325268,1,Feminino,1,1,208.09,258.96,1,7,467.04999999999995
3,32,6325268,1,Feminino,1,1,215.12,253.11,1,5,468.23
3,32,6325268,1,Masculino,1,1,250.86,284.57,1,5,535.4300000000001
3,32,6325268,1,Feminino,1,1,352.57,315.57,1,5,668.14
3,32,6325268,1,Masculino,1,1,324.25,296.75,1,3,621.0
3,32,6325268,1,Feminino,1,1,261.02,284.54,1,6,545.56
3,32,6325268,1,Masculino,1,1,304.93,350.9,1,4,655.8299999999999
3,32,6325268,1,Masculino,1,1,257.48,265.46,1,5,522.94
3,32,6325268,1,Feminino,1,1,277.63,242.47,1,3,520.1
3,32,6325268,1,Masculino,1,1,271.15,248.12,1,4,519.27
3,32,6325268,1,Masculino,1,1,256.37,266.44,1,3,522.81
3,32,6325268,1,Feminino,1,1,318.47,275.21,1,4,593.6800000000001
3,32,6325268,1,Masculino,1,1,271.87,221.86,1,5,493.73
3,32,6325268,1,Feminino,1,1,263.41,296.94,1,2,560.35
3,32,6325268,1,Feminino,1,1,240.56,240.11,1,2,480.67
3,32,6325268,1,Feminino,1,1,261.77,270.29,1,2,532.06
3,32,6325268,1,Feminino,1,1,318.96,269.05,1,4,588.01
3,32,6325268,1,Feminino,1,1,325.11,311.65,1,2,636.76
3,32,6325268,1,Masculino,1,1,254.69,231.83,1,6,486.52
3,32,6325268,1,Feminino,1,1,294.27,242.1,1,3,536.37
3,32,6325269,1,Masculino,1,1,212.97,230.97,1,2,443.94
3,32,6325269,1,Masculino,1,1,313.19,245.59,1,7,558.78
3,32,6325269,1,Masculino,1,1,269.91,286.55,1,6,556.46
3,32,6325269,1,Masculino,1,1,180.29,233.19,1,2,413.48
3,32,6325269,1,Feminino,1,1,297.61,291.08,1,2,588.69
3,32,6325269,1,Masculino,1,1,321.75,286.92,1,5,608.6700000000001
3,32,6325269,1,Feminino,1,1,276.37,283.57,1,5,559.94
3,32,6325269,1,Masculino,1,1,245.3,269.97,1,1,515.27
3,32,6325269,1,Masculino,1,1,295.07,282.36,1,3,577.4300000000001
3,32,6325269,1,Feminino,1,1,333.51,265.81,1,2,599.3199999999999
3,32,6325269,1,Masculino,1,1,247.37,253.71,1,1,501.08000000000004
3,32,6325269,1,Masculino,1,1,271.45,258.37,1,1,529.8199999999999
3,32,6325269,1,Feminino,1,1,296.22,332.67,1,7,628.8900000000001
3,32,6325269,1,Feminino,1,1,353.54,303.62,1,5,657.1600000000001
3,32,6325269,1,Feminino,1,1,350.32,277.54,1,7,627.86
3,32,6325269,1,Masculino,1,1,321.11,327.95,1,3,649.06
3,32,6325269,1,Feminino,1,1,265.8,247.86,1,3,513.6600000000001
3,32,6325269,1,Masculino,1,1,245.55,305.49,1,5,551.04
3,32,6325269,1,Masculino,1,1,195.5,208.39,1,3,403.89
3,32,6325269,1,Masculino,1,1,292.77,295.26,1,1,588.03
3,32,6325269,1,Feminino,1,1,266.83,258.03,1,6,524.8599999999999
3,32,6325269,1,Feminino,1,1,313.81,247.74,1,2,561.55
3,32,6325269,1,Feminino,1,1,244.35,192.97,1,5,437.32
3,32,6325269,1,Feminino,1,1,285.85,289.41,1,3,575.26
3,32,6325269,1,Feminino,1,1,294.32,307.67,1,4,601.99
3,32,6325269,1,Feminino,1,1,291.65,241.57,1,2,533.22
3,32,6325269,1,Masculino,1,1,213.28,232.95,1,3,446.23
3,32,6325269,1,Masculino,1,1,232.07,214.04,1,5,446.11
3,32,6325269,1,Feminino,1,1,209.02,203.48,1,2,412.5
3,32,6325269,1,Feminino,1,1,306.13,296.37,1,2,602.5
3,32,6325269,1,Feminino,1,1,301.45,258.76,1,3,560.21
3,32,6325269,1,Masculino,1,1,265.07,293.32,1,7,558.39
3,32,6325269,1,Feminino,1,1,209.23,238.05,1,5,447.28
3,32,6325269,1,Masculino,1,1,190.5,222.23,1,3,412.73
3,32,6325269,1,Masculino,1,1,318.59,290.29,1,3,608.88
3,32,6325269,1,Feminino,1,1,300.3,225.84,1,2,526.14
3,32,6325269,1,Masculino,1,1,211.21,248.49,1,1,459.70000000000005
3,32,6325269,1,Feminino,1,1,244.32,226.61,1,2,470.93
3,32,6325269,1,Feminino,1,1,283.62,254.88,1,3,538.5
3,32,6325269,1,Masculino,1,1,201.29,226.79,1,4,428.08
3,32,6325269,1,Masculino,1,1,174.4,188.46,1,2,362.86
3,32,6325269,1,Masculino,1,1,246.19,218.28,1,3,464.47
3,32,6325269,1,Feminino,1,1,215.32,231.17,1,3,446.49
3,32,6325269,1,Masculino,1,1,299.81,340.26,1,5,640.0699999999999
3,32,6325269,1,Feminino,1,1,331.98,249.46,1,5,581.44
3,32,6325269,1,Masculino,1,1,373.37,290.59,1,6,663.96
3,32,6325269,1,Masculino,1,1,343.12,304.02,1,2,647.14
3,32,6325269,1,Masculino,1,1,289.67,274.07,1,5,563.74
